arch,implementation,m,n,k,runtime_ms,tflops,max_abs_diff,input_a_hash,input_b_hash,output_sum,output_abs_sum,output_sq_sum,output_hash,runtime_samples_ms,tflops_samples
sm80,autopartitioner,256,256,256,0.006362665,5.27409,1.19209e-06,13677597478156048699,3347860711945326574,27.0532,17341.7,7212.28,12926916452234693495,"0.00642133,0.006304","5.22546,5.32272"
sm80,official_cutlass,256,256,256,0.006586665,5.09839,1.19209e-06,13677597478156048699,3347860711945326574,27.0532,17341.7,7212.28,12926916452234693495,"0.0064,0.00677333","5.24288,4.9539"
sm80,autopartitioner,512,512,512,0.010645350000000001,25.2175,2.86102e-06,8929937084902417292,16353718496964745992,-325.578,98608.6,58251.8,9727869141811068226,"0.0105707,0.01072","25.3944,25.0406"
sm80,official_cutlass,512,512,512,0.012272,21.884549999999997,2.86102e-06,8929937084902417292,16353718496964745992,-325.578,98608.6,58251.8,9727869141811068226,"0.012544,0.012","21.3995,22.3696"
